订单编号,顾客ID,商品ID,购买时间,购买数量,商品价格
2EIE2G75L0,CUST99889,PROD45853,2024-06-08 13:19:51,10,349.62
FSXD042448,CUST16819,PROD11442,2024-10-11 00:47:28,10,730.88
032FER7V94,CUST35381,PROD38847,2024-08-25 11:36:16,8,777.29
2PIC0V1SXO,CUST07950,PROD41182,2024-05-29 10:54:17,6,737.46
UGGTTDKTN5,CUST17791,PROD82478,2024-07-25 06:31:36,7,162.22
C8OISI96KM,CUST03432,PROD66955,2024-09-03 04:18:13,4,535.48
83WE1JRUC2,CUST09850,PROD69427,2024-06-27 06:02:11,3,322.47
30C67LJSQO,CUST62895,PROD59269,2024-08-20 15:47:32,5,321.57
QFHUZ7A923,CUST77521,PROD60729,2024-01-26 21:18:10,6,954.99
DNJVG7BM28,CUST08070,PROD09983,2024-08-22 15:53:10,6,418.26
HBZMKSCW56,CUST59772,PROD32430,2024-04-16 13:56:42,6,216.6
IP96R56RO8,CUST57669,PROD27050,2023-12-15 16:18:35,8,964.88
DPDPX3B21K,CUST89306,PROD31511,2024-09-02 05:59:06,9,581.54
C8BJRPANBA,CUST46426,PROD94295,2024-11-07 01:35:03,3,951.94
3JZVMHYEBY,CUST28556,PROD49926,2024-06-30 16:40:38,2,149.38
KCLTLVMJ9Z,CUST39931,PROD79398,2024-01-28 12:19:17,6,328.75
3EN7AOFBK7,CUST75052,PROD14695,2024-06-18 16:40:14,4,236.81
30P0UMC4QU,CUST48016,PROD65907,2024-05-24 22:52:17,4,144.26
4EHMHGV16H,CUST07029,PROD45772,2024-06-04 09:13:26,1,177.84
R5SRX8LRE2,CUST20747,PROD47460,2024-10-27 23:28:41,4,364.3
SEVS4C5HNP,CUST81660,PROD85210,2024-06-14 23:21:16,5,458.15
EOIEUZHM5U,CUST09000,PROD39180,2024-10-19 23:30:28,9,141.53
URE1VAKWVH,CUST16163,PROD91433,2023-11-19 01:51:43,3,462.57
Q09NH19U6V,CUST11466,PROD63734,2024-06-25 20:52:53,1,505.96
JE6Z6228YD,CUST09667,PROD07004,2024-06-11 21:34:04,1,218.97
SYTUU5AZ14,CUST74780,PROD27422,2024-07-22 02:03:11,5,464.48
OV1GN4UD1S,CUST37860,PROD49004,2024-05-26 21:27:50,7,184.92
4JRJJ61MI8,CUST34790,PROD49403,2024-07-20 06:35:19,3,839.47
TZZLEAP55R,CUST34366,PROD78909,2024-06-07 00:38:03,3,992.03
T8I5HVK2P1,CUST63794,PROD67558,2023-11-29 05:33:30,10,393.73
CGM6QPDMR1,CUST52796,PROD51887,2024-02-29 18:17:33,3,791.31
DJKSM2L5UD,CUST52809,PROD98999,2023-11-22 04:34:51,2,583.09
QMRXY8I3I0,CUST26984,PROD35373,2024-04-22 08:39:20,6,648.96
IOCC43NHWA,CUST10378,PROD87388,2024-02-23 05:00:40,8,422.85
3QVQ3OAFF0,CUST84789,PROD88258,2024-06-01 17:43:23,3,569.68
AFVQ8XDKYF,CUST14337,PROD91869,2023-12-02 00:43:24,1,343.31
K3GNL48LOS,CUST22602,PROD67403,2024-10-06 23:14:50,7,947.82
E96F29LMYA,CUST90822,PROD35103,2024-05-20 23:17:17,5,736.59
X6IUHLIOM0,CUST32258,PROD71127,2024-06-23 03:07:10,2,704.4
D3QME40U36,CUST18935,PROD10962,2024-02-14 18:59:22,9,178.47
1DV910PMG0,CUST27397,PROD44009,2024-01-27 15:58:02,6,874.46
MDQDJDZRIK,CUST71969,PROD41430,2024-04-22 03:55:02,2,847.72
Y05VURLFH4,CUST32502,PROD01855,2024-08-06 11:01:55,3,465.15
9QB6BOYFRA,CUST67548,PROD02686,2024-08-29 09:03:06,8,589.33
RKHLR19S7E,CUST53010,PROD49750,2024-07-18 18:50:37,7,960.88
XLD9YB6N8Q,CUST22209,PROD41177,2024-03-02 20:56:04,4,669.94
7L4B6D8LTU,CUST18930,PROD48677,2024-10-28 06:55:22,9,92.02
C04J218XIP,CUST29945,PROD77354,2024-06-03 17:16:23,10,565.77
QWYGEO2R6E,CUST29410,PROD36975,2024-01-16 06:33:15,3,340.28
4P1REL5GJY,CUST71015,PROD28174,2024-05-09 18:49:58,1,519.95
Q95KVEVQO8,CUST90703,PROD86649,2024-07-31 03:50:44,5,854.03
U9PG91ZC5J,CUST25354,PROD99317,2024-07-08 02:18:59,2,351.72
4JDMP8SSBI,CUST68585,PROD01755,2023-11-17 21:41:50,1,678.7
2XBB6NVBQ9,CUST18624,PROD49055,2024-09-08 20:54:56,5,973.07
3F7YRUEKXS,CUST65743,PROD60532,2024-08-25 16:59:25,4,864.64
95MFB9PT31,CUST41038,PROD18977,2024-09-21 15:15:43,7,716.17
0E7YYDCXTV,CUST76153,PROD50952,2024-08-07 03:20:36,7,610.56
OPFTW1DKU1,CUST05479,PROD11487,2024-10-06 19:40:47,5,790.29
JIBL78GOLO,CUST48020,PROD29398,2024-05-30 21:24:09,10,55.53
AA59R3K0DL,CUST97324,PROD75450,2024-04-20 13:49:36,2,28.47
49H19FSXJ4,CUST98202,PROD26262,2024-07-24 18:19:32,1,184.63
7ZANVWGUV5,CUST11645,PROD69894,2024-10-10 09:48:29,3,793.34
VT3D2NQ81A,CUST95265,PROD28381,2024-08-08 04:40:38,3,78.39
LWVU6UD0DF,CUST86520,PROD76371,2024-08-01 22:20:18,6,711.42
EZSA5QWDQF,CUST18887,PROD21638,2024-06-18 19:16:53,6,204.14
HIKV76GL5B,CUST55705,PROD10948,2024-07-13 12:05:12,9,900.66
UV06W9WCCP,CUST06275,PROD57668,2024-11-09 13:59:15,1,585.42
VKJAQX6EI0,CUST25343,PROD98014,2024-06-13 14:50:58,9,598.38
LE896X6QP1,CUST24524,PROD12193,2024-10-31 11:59:11,1,245.26
WUA5Y34YGV,CUST14458,PROD79695,2024-09-16 17:42:30,10,977.03
078ADTYEI9,CUST28177,PROD63614,2024-02-03 16:39:34,8,634.17
96BMMERRRH,CUST86681,PROD59791,2023-12-27 18:42:11,2,348.66
BWQNPQYYIS,CUST91637,PROD39537,2024-08-30 21:31:42,7,54.3
SH5Z0AO99Q,CUST39832,PROD24668,2024-03-30 05:39:59,6,615.22
SJGVV6U7TT,CUST44510,PROD24180,2024-02-20 21:24:34,10,246.39
XR81HAJEQN,CUST29489,PROD05465,2024-10-13 10:28:24,7,418.72
9JWJFXSOM9,CUST40415,PROD28971,2024-02-20 23:23:17,8,285.97
JRBLLXAIEI,CUST73450,PROD17740,2024-07-24 07:39:03,7,107.66
QO4G3TW1KE,CUST59996,PROD37787,2024-03-23 13:37:17,6,362.69
D7288HDKD5,CUST58573,PROD56944,2024-05-02 23:17:42,6,894.4
URHC3YR9GS,CUST41875,PROD58948,2024-02-27 12:55:58,6,949.16
OR7TYSOQ6Q,CUST93381,PROD54298,2024-03-23 03:21:54,4,364.64
0Y8U3CDOI0,CUST35476,PROD78097,2024-09-10 23:10:15,10,332.66
IR58VPKY6G,CUST40988,PROD35223,2024-06-03 17:22:33,5,60.3
0YYU5PUNYP,CUST13723,PROD24610,2024-04-23 16:13:35,1,182.02
ZG2Q5W5H4Y,CUST73539,PROD55273,2024-04-12 11:50:13,4,697.89
